Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2011

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","01/12/2011","0005","","SFO"
"UA","01/12/2011","0007","","SFO"
"UA","01/12/2011","0015","","SFO"
"UA","01/12/2011","0023","","LAX"
"UA","01/12/2011","0053","","LAX"
"UA","01/12/2011","0303","","SFO"
"UA","01/12/2011","0642","","SFO"
"UA","01/12/2011","0891","","LAX"
"UA","01/21/2011","0303","","SFO"
"UA","01/21/2011","0891","","LAX"
"UA","01/26/2011","0011","","LAX"
"UA","01/27/2011","0005","","SFO"
"UA","01/27/2011","0007","","SFO"
"UA","01/27/2011","0015","","SFO"
"UA","01/27/2011","0023","","LAX"
"UA","01/27/2011","0053","","LAX"
"UA","01/27/2011","0303","","SFO"
"UA","01/27/2011","0642","","SFO"
"UA","01/27/2011","0891","","LAX"
"UA","02/01/2011","0011","","LAX"
"UA","02/01/2011","0015","","SFO"
"UA","02/01/2011","0019","","SFO"
"UA","02/01/2011","0025","","LAX"
"UA","02/01/2011","0027","","LAX"
"UA","02/01/2011","0863","","SFO"
"UA","02/02/2011","0005","","SFO"
"UA","02/02/2011","0007","","SFO"
"UA","02/02/2011","0023","","LAX"
"UA","02/02/2011","0027","","LAX"
"UA","02/02/2011","0053","","LAX"
"UA","02/02/2011","0303","","SFO"
"UA","02/02/2011","0642","","SFO"
"UA","02/02/2011","0891","","LAX"
"UA","04/24/2011","0019","N518UA","SFO"
"UA","04/27/2011","0015","","SFO"
"UA","04/27/2011","0891","","LAX"
"UA","05/06/2011","0995","","SFO"
"UA","06/17/2011","0394","","LAX"
"UA","07/07/2011","0299","","SFO"
"UA","07/14/2011","0891","","LAX"
"UA","07/23/2011","0275","","LAX"
"UA","07/23/2011","0642","N532UA","SFO"
"UA","08/02/2011","0303","","SFO"
"UA","08/14/2011","0346","","SFO"
"UA","08/27/2011","0253","","SFO"
"UA","08/27/2011","0268","","LAX"
"UA","08/27/2011","0275","","LAX"
"UA","08/27/2011","0299","","SFO"
"UA","08/27/2011","0303","","SFO"
"UA","08/27/2011","0466","","LAX"
"UA","08/27/2011","0497","","LAX"
"UA","08/27/2011","0642","","SFO"
"UA","08/27/2011","0863","","SFO"
"UA","08/27/2011","0891","","LAX"
"UA","08/28/2011","0253","","SFO"
"UA","08/28/2011","0255","","LAX"
"UA","08/28/2011","0268","","LAX"
"UA","08/28/2011","0299","","SFO"
"UA","08/28/2011","0303","","SFO"
"UA","08/28/2011","0340","","LAX"
"UA","08/28/2011","0346","","SFO"
"UA","08/28/2011","0497","","LAX"
"UA","08/28/2011","0642","","SFO"
"UA","08/28/2011","0712","","LAX"
"UA","08/28/2011","0863","","SFO"
"UA","08/29/2011","0303","","SFO"
"UA","08/29/2011","0346","","SFO"
"UA","08/29/2011","0397","","SFO"
"UA","08/29/2011","0443","","LAX"
"UA","08/29/2011","0642","","SFO"
"UA","08/29/2011","0703","","LAX"
"UA","08/29/2011","0891","","LAX"
"UA","10/18/2011","0535","","LAX"
"UA","12/01/2011","0535","","LAX"
"UA","12/12/2011","0642","","SFO"

 SOURCE: Bureau of Transportation Statistics
